key,domain,en,fr,es,de,zh_Hans,ja,ar,ru,notes
brand_isalgo,brand,IsAlgo,IsAlgo,IsAlgo,IsAlgo,IsAlgo,IsAlgo,IsAlgo,IsAlgo,Do not translate brand name
brand_tero,brand,Tero,Tero,Tero,Tero,Tero,Tero,Tero,Tero,Do not translate brand name
brand_tradingview,brand,TradingView,TradingView,TradingView,TradingView,TradingView,TradingView,TradingView,TradingView,Do not translate brand name
brand_stripe,brand,Stripe,Stripe,Stripe,Stripe,Stripe,Stripe,Stripe,Stripe,Do not translate brand name
brand_discord,brand,Discord,Discord,Discord,Discord,Discord,Discord,Discord,Discord,Do not translate brand name
term_api,technical,API,API,API,API,API,API,API,API,Do not translate acronym
term_webhook,technical,Webhook,Webhook,Webhook,Webhook,Webhook,Webhook,Webhook,Webhook,Keep as technical term
term_json,technical,JSON,JSON,JSON,JSON,JSON,JSON,JSON,JSON,Do not translate acronym
term_url,technical,URL,URL,URL,URL,URL,URL,URL,URL,Do not translate acronym
term_id,technical,ID,ID,ID,ID,ID,ID,ID,ID,Do not translate acronym
ui_home,ui,Home,Accueil,Inicio,Startseite,首页,ホーム,الرئيسية,Главная,Navigation label
ui_settings,ui,Settings,Parametres,Configuracion,Einstellungen,设置,設定,الإعدادات,Настройки,Navigation label
ui_profile,ui,Profile,Profil,Perfil,Profil,个人资料,プロフィール,الملف الشخصي,Профиль,Navigation label
ui_notifications,ui,Notifications,Notifications,Notificaciones,Benachrichtigungen,通知,通知,الإشعارات,Уведомления,Navigation label
ui_save,ui,Save,Enregistrer,Guardar,Speichern,保存,保存,حفظ,Сохранить,Action button
ui_cancel,ui,Cancel,Annuler,Cancelar,Abbrechen,取消,キャンセル,إلغاء,Отмена,Action button
ui_delete,ui,Delete,Supprimer,Eliminar,Loschen,删除,削除,حذف,Удалить,Action button
ui_confirm,ui,Confirm,Confirmer,Confirmar,Bestatigen,确认,確認,تأكيد,Подтвердить,Action button
ui_search,ui,Search,Rechercher,Buscar,Suchen,搜索,検索,بحث,Поиск,Action button
ui_loading,ui,Loading...,Chargement...,Cargando...,Wird geladen...,加载中...,読み込み中...,جار التحميل...,Загрузка...,Status label
auth_login,auth,Login,Connexion,Iniciar sesion,Anmelden,登录,ログイン,تسجيل الدخول,Вход,Auth flow
auth_logout,auth,Logout,Deconnexion,Cerrar sesion,Abmelden,退出登录,ログアウト,تسجيل الخروج,Выход,Auth flow
auth_register,auth,Register,Inscription,Registrarse,Registrieren,注册,登録,تسجيل,Регистрация,Auth flow
